KSAID,Description,Withdrawn?,CISSP,ISSAP,ISSEP,ISSMP,SSCP,CAP,CSSLP,HCISPP,CCSP
Knowledge,,,,,,,,,,,
K0001,"Knowledge of computer networking concepts and protocols, and network security methodologies. ",,"4.1, 4.2, 4.3.4","2.7, 2.7.3, 3", ,"2,2","6,1", , ,6,"1.1.4, 1.3.4, 3.1.2"
K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).",,"1.9.2, 1.9.3","4, 4.2","1,2",3,"3,1","1.1, 1.1.2, 1.1.3, 5, 7.3.1, 7.3.2",6.9.4,"2.3.3, 6","6,4"
K0003,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. ",,1.3.1,"4,1", ,"4.2, 6, 6.2","2,1", ,6.9.2,"2.3, 2.4, 4.2.2, 4.3","1.2.5, 1.5.1, 2.7, 6.2"
K0004,Knowledge of cybersecurity and privacy principles.,,1.4.5,"1, 2, 3, 4, 5, 6", ,"1, 6.1.1",2.2.5,1.2.2,"2,3","4,3","1.2.5, 1.3, 1.5.1, 2.7, 6.2"
K0005,Knowledge of cyber threats and vulnerabilities. ,,"1,1","4,2",3.1.4,"2.3, 3.2","7,1", ,"3.1, 3.2.4","6.1.6, 6.1.7","1.3.6, 3.3.2"
K0006,Knowledge of specific operational impacts of cybersecurity lapses.,,"1,7",4, ,"3,2", , ,6.9.4,6.1.5,"4.1.2, 4.3.1"
K0007,"Knowledge of authentication, authorization, and access control methods.",,"5,2","1,2","1,1","1.2, 2.1","1.1, 1.1.3, 1.4","1,2,3,4,5,6,7","7,4","5.2.1, 5.3.4","1.3.2, 2.6.1, 3.3.4, 3.4, 4.7, 5.3.1"
K0008,Knowledge of applicable business processes and operations of customer organizations.,,1.2.2,"2.3, 4.2.1",3.1.2,"1, 2", , ,"7,9","2.3.3, 7","3.5.2, 4.2.1, 6.5.1"
K0009,Knowledge of application vulnerabilities.,,6.2.1,"6,5", ,"1, 2","7,1","5.3.1, 7.3","7,9",6.1.7,4.3.1
K0010,"Knowledge of communication methods, principles, and concepts that support the network infrastructure.",,"4,1","2,7","3,4","2,2","6,1", ,3.2.5,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0011,"Knowledge of capabilities and applications of network equipment including routers, switches, bridges, servers, transmission media, and related hardware.",,"4,1","2,7", ,"2,2","6.1, 6.1.4, 6.5", ,3.2.5,"6, 7.2.2","1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
