ID;name;description;url;created;last modified;version
M0801;Access Management;Access Management technologies can be used to enforce authorization polices and decisions, especially when existing field devices do not provided capabilities to support user identification and authentication. (Citation: NIST SP 1800-2) These technologies typically utilize an in-line network device or gateway system to prevent access to unauthenticated users, while also integrating with an authentication service to first verify user credentials. (Citation: CPNI Nov 2010);https://collaborate.mitre.org/attackics/index.php/Mitigation/M0801;11 September 2020;25 September 2020;1.0
M0936;Account Use Policies;Configure features related to account use like login attempt lockouts, specific login times, etc.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0936;11 June 2019;10 April 2021;1.0
M0915;Active Directory Configuration;"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.";https://collaborate.mitre.org/attackics/index.php/Mitigation/M0915;06 June 2019;29 May 2020;1.0
M0949;Antivirus/Antimalware;Use signatures or heuristics to detect malicious software. Within industrial control environments, antivirus/antimalware installations should be limited to assets that are not involved in critical or real-time operations. To minimize the impact to system availability, all products should first be validated within a representative test environment before deployment to production systems.(Citation: CISA Antivirus ICS August 2018);https://collaborate.mitre.org/attackics/index.php/Mitigation/M0949;11 June 2019;31 March 2020;1.0
M0913;Application Developer Guidance;This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0913;25 October 2017;10 April 2021;1.0
M0948;Application Isolation and Sandboxing;Restrict execution of code to a virtual environment on or in transit to an endpoint system.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0948;11 June 2019;10 April 2021;1.0
M0947;Audit;Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses. Perform periodic integrity checks of the device to validate the correctness of the firmware, software, programs, and configurations. Integrity checks, which typically include cryptographic hashes or digital signatures, should be compared to those obtained at known valid states, especially after events like device reboots, program downloads, or program restarts.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0947;11 June 2019;10 April 2021;1.0
M0800;Authorization Enforcement;The device or system should restrict access to read, manipulate, or execute system objects to only authenticated users who require access based on approved security policies. Role-based Access Control (RBAC) schemes can help reduce the overhead of assigning permissions to the large number of devices within an ICS. For example, IEC 62351 provides examples of roles used to support common system operations within the electric power sector (Citation: IEC 62351), while IEEE 1686 provide sets of standard permissions for users of IEDs. (Citation: IEEE 1686-2013);https://collaborate.mitre.org/attackics/index.php/Mitigation/M0800;11 September 2020;17 September 2020;1.0
M0946;Boot Integrity;Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0946;11 June 2019;10 April 2021;1.0
M0945;Code Signing;Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0945;11 June 2019;10 April 2021;1.0
M0802;Communication Authenticity;When communicating over an untrusted network utilize secure network protocols that both authenticate the message sender and can verify its integrity, either through message authentication codes (MACs) or digital signatures, to prevent the transmission of spoofed network messages or unauthorized connections.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0802;11 September 2020;17 September 2020;1.0
M0953;Data Backup;Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise. Maintain and exercise incident response plans, including the management of 'gold-copy' back-up images and configurations for key systems to enable quick recovery and response from adversarial activities that impact control, view, or availability.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0953;19 July 2019;10 April 2021;1.0
M0803;Data Loss Prevention;Data Loss Prevention (DLP) technologies can be used to help identify adversarial attempts to exfiltrate operational information, such as engineering plans, trade secrets, recipes, intellectual property, or process telemetry. DLP functionality may be built into other security products such as firewalls or stand alone suites running on the network and host-based agents. DLP may be configured to prevent the transfer of information through corporate resources such as email, web, and physical media such as USB for host-based solutions.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0803;11 September 2020;17 September 2020;1.0
M0942;Disable or Remove Feature or Program;Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0942;11 June 2019;10 April 2021;1.0
M0808;Encrypt Network Traffic;Utilize strong cryptographic techniques and protocols to prevent eavesdropping on network communications.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0808;11 September 2020;17 September 2020;1.0
M0941;Encrypt Sensitive Information;Protect sensitive information with strong encryption.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0941;11 June 2019;10 April 2021;1.0
M0938;Execution Prevention;Block execution of code on a system through application control, and/or script blocking.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0938;11 June 2019;10 April 2021;1.0
M0950;Exploit Protection;Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0950;11 June 2019;10 April 2021;1.0
M0937;Filter Network Traffic;Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic. Perform inline allow/denylisting of network messages based on the application layer (OSI Layer 7) protocol, especially for automation protocols. Application allowlists are beneficial when there are well-defined communication sequences, types, rates, or patterns needed during expected system operations. Application denylists may be needed if all acceptable communication sequences cannot be defined, but instead a set of known malicious uses can be denied (e.g., excessive communication attempts, shutdown messages, invalid commands). Devices performing these functions are often referred to as deep-packet inspection (DPI) firewalls, context-aware firewalls, or firewalls blocking specific automation/SCADA protocol aware firewalls.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0937;11 June 2019;10 April 2021;1.1
