source name;source type;mapping type;target name;target type;mapping description;source ID;target ID
Access Management;mitigation;mitigates;Activate Firmware Update Mode;technique;All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.;;
Access Management;mitigation;mitigates;Change Operating Mode;technique;Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.;;
Access Management;mitigation;mitigates;Default Credentials;technique;Ensure embedded controls and network devices are protected through access management, as these devices often have unknown default accounts which could be used to gain unauthorized access.;;
Access Management;mitigation;mitigates;Detect Operating Mode;technique;Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.;;
Access Management;mitigation;mitigates;Device Restart/Shutdown;technique;All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.;;
Access Management;mitigation;mitigates;Execution through API;technique;Access Management technologies can be used to enforce authorization policies and decisions, especially when existing field devices do not provided capabilities to support user identification and authentication.1 These technologies typically utilize an in-line network device or gateway system to prevent access to unauthenticated users, while also integrating with an authentication service to first verify user credentials.;;
Access Management;mitigation;mitigates;Modify Alarm Settings;technique;All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.;;
Access Management;mitigation;mitigates;Module Firmware;technique;All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.;;
Access Management;mitigation;mitigates;Point & Tag Identification;technique;Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.;;
Access Management;mitigation;mitigates;Program Download;technique;Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.;;
Access Management;mitigation;mitigates;Program Upload;technique;Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.;;
Access Management;mitigation;mitigates;Remote Services;technique;Access Management technologies can help enforce authentication on critical remote service, examples include, but are not limited to, device management services (e.g., telnet, SSH), data access servers (e.g., HTTP, Historians), and HMI sessions (e.g., RDP, VNC).;;
Access Management;mitigation;mitigates;System Firmware;technique;All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not inherently provide strong authentication and authorization functions.;;
Access Management;mitigation;mitigates;Valid Accounts;technique;Authenticate all access to field controllers before authorizing access to, or modification of, a device's state, logic, or programs. Centralized authentication techniques can help manage the large number of field controller accounts needed across the ICS.;;
Account Use Policies;mitigation;mitigates;External Remote Services;technique;Configure features related to account use like login attempt lockouts, specific login times, and password strength requirements as examples. Consider these features as they relate to assets which may impact safety and availability.;;
Account Use Policies;mitigation;mitigates;Valid Accounts;technique;Configure features related to account use like login attempt lockouts, specific login times, and password strength requirements as examples. Consider these features as they relate to assets which may impact safety and availability.;;
Active Directory Configuration;mitigation;mitigates;Valid Accounts;technique;Consider configuration and use of a network-wide authentication service such as Active Directory, LDAP, or RADIUS capabilities which can be found in ICS devices.;;
Antivirus/Antimalware;mitigation;mitigates;Engineering Workstation Compromise;technique;Install anti-virus software on all workstation and transient assets that may have external access, such as to web, email, or remote file shares.;;
Antivirus/Antimalware;mitigation;mitigates;Spearphishing Attachment;technique;Deploy anti-virus on all systems that support external email.;;
Antivirus/Antimalware;mitigation;mitigates;User Execution;technique;Ensure anti-virus solution can detect malicious files that allow user execution (e.g., Microsoft Office Macros, program installers).;;
Application Developer Guidance;mitigation;mitigates;Valid Accounts;technique;Ensure that applications and devices do not store sensitive data or credentials insecurely (e.g., plaintext credentials in code, published credentials in repositories, or credentials in public cloud storage).;;
Application Isolation and Sandboxing;mitigation;mitigates;Drive-by Compromise;technique;Built-in browser sandboxes and application isolation may be used in conjunction to contain malware before malicious actions occur.;;
Application Isolation and Sandboxing;mitigation;mitigates;Exploit Public-Facing Application;technique;Application isolation will limit the other processes and system features an exploited target can access. Examples of built in features are software restriction policies, AppLocker for Windows, and SELinux or AppArmor for Linux.;;
Application Isolation and Sandboxing;mitigation;mitigates;Exploitation for Evasion;technique;Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist.;;
Application Isolation and Sandboxing;mitigation;mitigates;Exploitation for Privilege Escalation;technique;Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist.;;
Application Isolation and Sandboxing;mitigation;mitigates;Exploitation of Remote Services;technique;Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist.;;
Application Isolation and Sandboxing;mitigation;mitigates;Scripting;technique;Consider the use of application isolation and sandboxing to restrict specific operating system interactions such as access through user accounts, services, system calls, registry, and network access. This may be even more useful in cases where the source of the executed script is unknown.;;
Audit;mitigation;mitigates;Block Reporting Message;technique;Perform integrity checks of firmware before uploading it on a device. Utilize cryptographic hashes to verify the firmware has not been tampered with by comparing it a trusted hash of the firmware. This could be from a trusted data sources (e.g., vendor site) or through a third-party verification service.;;
Audit;mitigation;mitigates;Data from Information Repositories;technique;Consider periodic review of accounts and privileges for critical and sensitive repositories.;;
Audit;mitigation;mitigates;Engineering Workstation Compromise;technique;Integrity checking of engineering workstations can include performing the validation of the booted operating system and programs using TPM-based technologies, such as Secure Boot and Trusted Boot. It can also include verifying filesystem changes, such as programs and configuration files stored on the system, executing processes, libraries, accounts, and open ports.;;
Audit;mitigation;mitigates;Hooking;technique;Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses. Perform periodic integrity checks of the device to validate the correctness of the firmware, software, programs, and configurations. Integrity checks, which typically include cryptographic hashes or digital signatures, should be compared to those obtained at known valid states, especially after events like device reboots, program downloads, or program restarts.;;
Audit;mitigation;mitigates;Modify Controller Tasking;technique;Provide the ability to verify the integrity of control logic or programs loaded on a controller. While techniques like CRCs and checksums are commonly used, they are not cryptographically strong and can be vulnerable to collisions. Preferably cryptographic hash functions (e.g., SHA-2, SHA-3) should be used.;;
Audit;mitigation;mitigates;Modify Parameter;technique;Provide the ability to verify the integrity of control logic or programs loaded on a controller. While techniques like CRCs and checksums are commonly used, they are not cryptographically strong and can be vulnerable to collisions. Preferably cryptographic hash functions (e.g., SHA-2, SHA-3) should be used.;;
Audit;mitigation;mitigates;Modify Program;technique;Provide the ability to verify the integrity of control logic or programs loaded on a controller. While techniques like CRCs and checksums are commonly used, they are not cryptographically strong and can be vulnerable to collisions. Preferably cryptographic hash functions (e.g., SHA-2, SHA-3) should be used.;;
Audit;mitigation;mitigates;Module Firmware;technique;Perform integrity checks of firmware before uploading it on a device. Utilize cryptographic hashes to verify the firmware has not been tampered with by comparing it a trusted hash of the firmware. This could be from a trusted data sources (e.g., vendor site) or through a third-party verification service.;;
Audit;mitigation;mitigates;Program Download;technique;Provide the ability to verify the integrity of control logic or programs loaded on a controller. While techniques like CRCs and checksums are commonly used, they are not cryptographically strong and can be vulnerable to collisions. Preferably cryptographic hash functions (e.g., SHA-2, SHA-3) should be used.;;
Audit;mitigation;mitigates;Project File Infection;technique;Review the integrity of project files to verify they have not been modified by adversary behavior. Verify a cryptographic hash for the file with a known trusted version, or look for other indicators of modification (e.g., timestamps).;;
Audit;mitigation;mitigates;Rootkit;technique;Audit the integrity of PLC operating system functionality, such as the manipulation of standard function blocks (e.g., Organizational Blocks) that manage the execution of application logic programs.;;
Audit;mitigation;mitigates;Supply Chain Compromise;technique;Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses. Perform periodic integrity checks of the device to validate the correctness of the firmware, software, programs, and configurations. Integrity checks, which typically include cryptographic hashes or digital signatures, should be compared to those obtained at known valid states, especially after events like device reboots, program downloads, or program restarts.;;
Audit;mitigation;mitigates;System Firmware;technique;Perform integrity checks of firmware before uploading it on a device. Utilize cryptographic hashes to verify the firmware has not been tampered with by comparing it a trusted hash of the firmware. This could be from a trusted data sources (e.g., vendor site) or through a third-party verification service.;;
Audit;mitigation;mitigates;Valid Accounts;technique;Routinely audit source code, application configuration files, open repositories, and public cloud storage for insecure use and storage of credentials.;;
Authorization Enforcement;mitigation;mitigates;Activate Firmware Update Mode;technique;Restrict configurations changes and firmware updating abilities to only authorized individuals.;;
Authorization Enforcement;mitigation;mitigates;Change Operating Mode;technique;All field controllers should restrict operating mode changes to only required authenticated users (e.g., engineers, field technicians), preferably through implementing a role-based access mechanism. Further, physical mechanisms (e.g., keys) can also be used to limit unauthorized operating mode changes.;;
