reference;citation;url
3GPP-Security;3GPP. (2000, January). A Guide to 3rd Generation Security. Retrieved December 19, 2016.;http://www.3gpp.org/ftp/tsg_sa/wg3_security/_specs/33900-120.pdf
Accenture SNAKEMACKEREL Nov 2018;Accenture Security. (2018, November 29). SNAKEMACKEREL. Retrieved April 15, 2019.;https://www.accenture.com/t20181129T203820Z__w__/us-en/_acnmedia/PDF-90/Accenture-snakemackerel-delivers-zekapab-malware.pdf#zoom=50
Android 10 DEX;Android Developers. (n.d.). Run embedded DEX code directly from APK. Retrieved September 20, 2019.;https://developer.android.com/topic/security/dex.md
Android 10 Execute;Android Developers. (n.d.). Behavior changes: all apps - Removed execute permission for app home directory. Retrieved September 20, 2019.;https://developer.android.com/about/versions/10/behavior-changes-all#execute-permission
Android 10 Privacy Changes;Android Developers. (n.d.). Privacy changes in Android 10. Retrieved September 11, 2019.;https://developer.android.com/about/versions/10/privacy/changes#clipboard-data
Android App Links;Google. (n.d.). Verify Android App Links. Retrieved September 11, 2020.;https://developer.android.com/training/app-links/verify-site-associations
Android Background;Android Developers. (n.d.). Restrictions on starting activities from the background. Retrieved September 18, 2019.;https://developer.android.com/guide/components/activities/background-starts
Android Capture Sensor 2019;Android Developers. (, January). Android 9+ Privacy Changes . Retrieved August 27, 2019.;https://developer.android.com/about/versions/pie/android-9.0-changes-all#bg-sensor-access
Android Changes to System Broadcasts;Google. (2019, December 27). Broadcasts Overview. Retrieved January 27, 2020.;https://developer.android.com/guide/components/broadcasts#changes-system-broadcasts
Android DeviceAdminInfo;Google. (n.d.). DeviceAdminInfo. Retrieved November 20, 2020.;https://developer.android.com/reference/android/app/admin/DeviceAdminInfo
Android DevicePolicyManager 2019;Android Developers. (n.d.). DevicePolicyManager. Retrieved September 22, 2019.;https://developer.android.com/reference/android/app/admin/DevicePolicyManager.html
Android Geofencing API;Google. (n.d.). Create and monitor geofences. Retrieved September 11, 2020.;https://developer.android.com/training/location/geofencing
Android Notification Listeners;Android. (n.d.).  DevicePolicyManager. Retrieved September 15, 2019.;https://developer.android.com/reference/android/app/admin/DevicePolicyManager#setPermittedCrossProfileNotificationListeners(android.content.ComponentName,%20java.util.List%3Cjava.lang.String%3E)
Android ScreenCap1 2019;Android Developers. (n.d.). Android MediaProjectionManager. Retrieved August 8, 2019.;https://developer.android.com/reference/android/media/projection/MediaProjectionManager
Android ScreenCap2 2019;Android Developers. (n.d.). Android Debug Bridge (adb). Retrieved August 8, 2019.;https://developer.android.com/studio/command-line/adb
Android SmsProvider;Google. (n.d.). SmsProvider.java. Retrieved September 11, 2020.;https://android.googlesource.com/platform/packages/providers/TelephonyProvider/+/7e7c274/src/com/android/providers/telephony/SmsProvider.java
Android WorkManager;Google. (n.d.). Schedule tasks with WorkManager. Retrieved November 4, 2020.;https://developer.android.com/topic/libraries/architecture/workmanager
Android resetPassword;Google. (n.d.). DevicePolicyManager. Retrieved October 1, 2019.;https://developer.android.com/reference/android/app/admin/DevicePolicyManager.html#resetPassword(java.lang.String,%20int)
Android-9.0-API-Changes;Google. (n.d.). Behavior changes: apps targeting API level 28+. Retrieved September 18, 2019.;https://developer.android.com/about/versions/pie/android-9.0-changes-28
Android-AppLinks;Android. (n.d.). Handling App Links. Retrieved December 21, 2016.;https://developer.android.com/training/app-links/index.html
Android-Build;Android. (n.d.). Build. Retrieved December 21, 2016.;https://developer.android.com/reference/android/os/Build
Android-ForegroundServices;Google. (n.d.). Services overview. Retrieved November 19, 2019.;https://developer.android.com/guide/components/services.html#Foreground
Android-NetworkSecurityConfig;Google. (n.d.). Network Security Configuration. Retrieved December 19, 2016.;https://developer.android.com/training/articles/security-config.html
Android-PackageManager;Android. (n.d.). PackageManager. Retrieved December 21, 2016.;https://developer.android.com/reference/android/content/pm/PackageManager.html
Android-ReadLogs;Dianne Hackborn. (2012, July 12). Re: READ_LOGS permission is not granted to 3rd party applications in Jelly Bean (api 16). Retrieved December 21, 2016.;https://groups.google.com/d/msg/android-developers/6U4A5irWang/AvZsrTdfICIJ
Android-SELinuxChanges;Various. (2016, March 31). Overly restrictive SELinux filesystem permissions in Android N. Retrieved December 21, 2016.;https://code.google.com/p/android/issues/detail?id=205565
Android-SensorsOverview;Google. (n.d.). Sensors Overview. Retrieved November 19, 2019.;https://developer.android.com/guide/topics/sensors/sensors_overview#sensors-practices
Android-TrustedCA;Chad Brubaker. (2016, July 7). Changes to Trusted Certificate Authorities in Android Nougat. Retrieved September 24, 2018.;https://android-developers.googleblog.com/2016/07/changes-to-trusted-certificate.html
Android-VerifiedBoot;Android. (n.d.). Verified Boot. Retrieved December 21, 2016.;https://source.android.com/security/verifiedboot/
Android-getRunningTasks;Android. (n.d.). ActivityManager getRunningTasks documentation. Retrieved January 19, 2017.;https://developer.android.com/reference/android/app/ActivityManager.html#getRunningTasks%28int%29
Android60Changes;Android. (n.d.). Android 6.0 Changes. Retrieved December 21, 2016.;https://developer.android.com/about/versions/marshmallow/android-6.0-changes.html#behavior-hardware-id
AndroidSecurity2014;Google. (2014). Android Security 2014 Year in Review. Retrieved December 12, 2016.;https://static.googleusercontent.com/media/source.android.com/en//security/reports/Google_Android_Security_2014_Report_Final.pdf
Apple Keychain Services;Apple, Inc.. (n.d.). Keychain Services. Retrieved June 24, 2020.;https://developer.apple.com/documentation/security/keychain_services
Apple Location Services;Apple. (n.d.). Requesting Authorization for Location Services. Retrieved September 11, 2020.;https://developer.apple.com/documentation/corelocation/requesting_authorization_for_location_services
Apple NSBackgroundActivityScheduler;Apple. (n.d.). NSBackgroundActivityScheduler. Retrieved November 4, 2020.;https://developer.apple.com/documentation/foundation/nsbackgroundactivityscheduler
Apple-TouchID;Apple. (2015, November 3). About Touch ID security on iPhone and iPad. Retrieved December 23, 2016.;https://support.apple.com/en-us/HT204587
Apple-UniversalLinks;Apple. (n.d.). Support Universal Links. Retrieved December 21, 2016.;https://developer.apple.com/library/content/documentation/General/Conceptual/AppSearch/UniversalLinks.html
Apple-iOSSecurityGuide;Apple. (2016, May). iOS Security. Retrieved December 21, 2016.;https://www.apple.com/business/docs/iOS_Security_Guide.pdf
Ars Technica GRU indictment Jul 2018;Gallagher, S. (2018, July 27). How they did it (and will likely try again): GRU hackers vs. US elections. Retrieved September 13, 2018.;https://arstechnica.com/information-technology/2018/07/from-bitly-to-x-agent-how-gru-hackers-targeted-the-2016-presidential-election/
ArsTechnica-HummingBad;Dan Goodin. (2016, July 7). 10 million Android phones infected by all-powerful auto-rooting apps. Retrieved January 24, 2017.;http://arstechnica.com/security/2016/07/virulent-auto-rooting-malware-takes-control-of-10-million-android-devices/
ArsTechnica-HummingWhale;Dan Goodin. (2017, January 23). Virulent Android malware returns, gets >2 million downloads on Google Play. Retrieved January 24, 2017.;http://arstechnica.com/security/2017/01/virulent-android-malware-returns-gets-2-million-downloads-on-google-play/
