ID;name;description;url;created;last modified;version
M1013;Application Developer Guidance;This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.;https://attack.mitre.org/mitigations/M1013;25 October 2017;17 October 2018;1.0
M1005;Application Vetting;"Enterprises can vet applications for exploitable vulnerabilities or unwanted (privacy-invasive or malicious) behaviors. Enterprises can inspect applications themselves or use a third-party service.

Enterprises may impose policies to only allow pre-approved applications to be installed on their devices or may impose policies to block use of specific applications known to have issues. In Bring Your Own Device (BYOD) environments, enterprises may only be able to impose these policies over an enterprise-managed portion of the device.

Application Vetting is not a complete mitigation. Techniques such as [Evade Analysis Environment](https://attack.mitre.org/techniques/T1523) exist that can enable adversaries to bypass vetting.";https://attack.mitre.org/mitigations/M1005;18 October 2019;18 February 2021;1.0
M1002;Attestation;Enable remote attestation capabilities when available (such as Android SafetyNet or Samsung Knox TIMA Attestation) and prohibit devices that fail the attestation from accessing enterprise resources.;https://attack.mitre.org/mitigations/M1002;18 October 2019;18 October 2019;1.0
M1007;Caution with Device Administrator Access;"Warn device users not to accept requests to grant Device Administrator access to applications without good reason.

Additionally, application vetting should include a check on whether the application requests Device Administrator access. Applications that do request Device Administrator access should be carefully scrutinized and only allowed to be used if a valid reason exists.";https://attack.mitre.org/mitigations/M1007;25 October 2017;17 October 2018;1.0
M1010;Deploy Compromised Device Detection Method;A variety of methods exist that can be used to enable enterprises to identify compromised (e.g. rooted/jailbroken) devices, whether using security mechanisms built directly into the device, third-party mobile security applications, enterprise mobility management (EMM)/mobile device management (MDM) capabilities, or other methods. Some methods may be trivial to evade while others may be more sophisticated.;https://attack.mitre.org/mitigations/M1010;25 October 2017;17 October 2018;1.0
M1009;Encrypt Network Traffic;"Application developers should encrypt all of their application network traffic using the Transport Layer Security (TLS) protocol to ensure protection of sensitive data and deter network-based attacks. If desired, application developers could perform message-based encryption of data before passing it for TLS encryption.

iOS's App Transport Security feature can be used to help ensure that all application network traffic is appropriately protected. Apple intends to mandate use of App Transport Security  (Citation: TechCrunch-ATS) for all apps in the Apple App Store unless appropriate justification is given.

Android's Network Security Configuration feature similarly can be used by app developers to help ensure that all of their application network traffic is appropriately protected  (Citation: Android-NetworkSecurityConfig).

Use of Virtual Private Network (VPN) tunnels, e.g. using the IPsec protocol, can help mitigate some types of network attacks as well.";https://attack.mitre.org/mitigations/M1009;25 October 2017;17 October 2018;1.0
M1012;Enterprise Policy;An enterprise mobility management (EMM), also known as mobile device management (MDM), system can be used to provision policies to mobile devices to control aspects of their allowed behavior.;https://attack.mitre.org/mitigations/M1012;25 October 2017;24 June 2020;1.0
M1014;Interconnection Filtering;In order to mitigate Signaling System 7 (SS7) exploitation, the Communications, Security, Reliability, and Interoperability Council (CSRIC) describes filtering interconnections between network operators to block inappropriate requests (Citation: CSRIC5-WG10-FinalReport).;https://attack.mitre.org/mitigations/M1014;25 October 2017;17 October 2018;1.0
M1003;Lock Bootloader;On devices that provide the capability to unlock the bootloader (hence allowing any operating system code to be flashed onto the device), perform periodic checks to ensure that the bootloader is locked.;https://attack.mitre.org/mitigations/M1003;25 October 2017;17 October 2018;1.0
M1001;Security Updates;"Install security updates in response to discovered vulnerabilities.

Purchase devices with a vendor and/or mobile carrier commitment to provide security updates in a prompt manner for a set period of time.

Decommission devices that will no longer receive security updates.

Limit or block access to enterprise resources from devices that have not installed recent security updates.

On Android devices, access can be controlled based on each device's security patch level. On iOS devices, access can be controlled based on the iOS version.";https://attack.mitre.org/mitigations/M1001;18 October 2019;18 October 2019;1.0
M1004;System Partition Integrity;Ensure that Android devices being used include and enable the Verified Boot capability, which cryptographically ensures the integrity of the system partition.;https://attack.mitre.org/mitigations/M1004;25 October 2017;17 October 2018;1.0
M1006;Use Recent OS Version;New mobile operating system versions bring not only patches against discovered vulnerabilities but also often bring security architecture improvements that provide resilience against potential vulnerabilities or weaknesses that have not yet been discovered. They may also bring improvements that block use of observed adversary techniques.;https://attack.mitre.org/mitigations/M1006;25 October 2017;17 October 2018;1.0
M1011;User Guidance;Describes any guidance or training given to users to set particular configuration settings or avoid specific potentially risky behaviors.;https://attack.mitre.org/mitigations/M1011;18 October 2019;18 October 2019;1.0
