source ID;source name;source type;mapping type;target ID;target name;target type;mapping description
M1013;Application Developer Guidance;mitigation;mitigates;T1517;Access Notifications;technique;Application developers could be encouraged to avoid placing sensitive data in notification text.
M1013;Application Developer Guidance;mitigation;mitigates;T1413;Access Sensitive Data in Device Logs;technique;Application developers should be discouraged from writing sensitive data to the system log in production apps.
M1013;Application Developer Guidance;mitigation;mitigates;T1513;Screen Capture;technique;Application developers can apply `FLAG_SECURE` to sensitive screens within their apps to make it more difficult for the screen contents to be captured.(Citation: Nightwatch screencap April 2016)
M1013;Application Developer Guidance;mitigation;mitigates;T1416;URI Hijacking;technique;Developers should use Android App Links(Citation: Android App Links) and iOS Universal Links(Citation: iOS Universal Links) to provide a secure binding between URIs and applications, preventing malicious applications from intercepting redirections. Additionally, for OAuth use cases, PKCE(Citation: IETF-PKCE) should be used to prevent use of stolen authorization codes.
M1005;Application Vetting;mitigation;mitigates;T1435;Access Calendar Entries;technique;On Android, accessing device calendar data requires that the app hold the READ_CALENDAR permission. Apps that request this permission could be closely scrutinized to ensure that the request is appropriate. On iOS, the app vetting process can determine whether apps access device calendar data, with extra scrutiny applied to any that do so.
M1005;Application Vetting;mitigation;mitigates;T1433;Access Call Log;technique;On Android, accessing the device call log requires that the app hold the READ_CALL_LOG permission. Apps that request this permission could be closely scrutinized to ensure that the request is appropriate.
M1005;Application Vetting;mitigation;mitigates;T1432;Access Contact List;technique;On Android, accessing the device contact list requires that the app hold the READ_CONTACTS permission. Apps that request this permission could be closely scrutinized to ensure that the request is appropriate. On iOS, the app vetting process can determine whether apps access the device contact list, with extra scrutiny applied to any that do so.
M1005;Application Vetting;mitigation;mitigates;T1413;Access Sensitive Data in Device Logs;technique;
M1005;Application Vetting;mitigation;mitigates;T1409;Access Stored Application Data;technique;Ensure applications do not store data in an insecure fashion, such as in unprotected external storage, without acknowledging the risk that the data can potentially be accessed or modified by other applications.
M1005;Application Vetting;mitigation;mitigates;T1418;Application Discovery;technique;Application vetting techniques could search for use of the Android PackageManager class to enumerate other apps, and such applications could have extra scrutiny applied to them. However, this technique may not be practical if many apps invoke these methods as part of their legitimate behavior. On iOS, application vetting techniques could similarly search for use of the private API call necessary to obtain a list of apps installed on the device. Additionally, on iOS, use of the private API call is likely to result in the app not being accepted into Apple's App Store.
