ID;name;description;url;created;last modified;version;tactics;detection;platforms;MTC ID;contributors
T1435;Access Calendar Entries;An adversary could call standard operating system APIs from a malicious application to gather calendar entry data, or with escalated privileges could directly access files containing calendar data.;https://attack.mitre.org/techniques/T1435;25 October 2017;17 October 2018;1.0;Collection;On both Android (6.0 and up) and iOS, the user can view which applications have permission to access calendar information through the device settings screen, and the user can choose to revoke the permissions.;Android, iOS;APP-13;
T1433;Access Call Log;"On Android, an adversary could call standard operating system APIs from a malicious application to gather call log data, or with escalated privileges could directly access files containing call log data.

On iOS, applications do not have access to the call log, so privilege escalation would be required in order to access the data.";https://attack.mitre.org/techniques/T1433;25 October 2017;18 September 2019;1.1;Collection;On Android 6.0 and up, the user can view which applications have permission to access call log information through the device settings screen, and the user can choose to revoke the permissions.;Android, iOS;APP-13;
T1432;Access Contact List;An adversary could call standard operating system APIs from a malicious application to gather contact list (i.e., address book) data, or with escalated privileges could directly access files containing contact list data.;https://attack.mitre.org/techniques/T1432;25 October 2017;17 October 2018;1.0;Collection;On both Android (6.0 and up) and iOS, the user can view which applications have permission to access contact list information through the device settings screen, and the user can choose to revoke the permissions.;Android, iOS;APP-13;
T1517;Access Notifications;A malicious application can read notifications sent by the operating system or other applications, which may contain sensitive data such as one-time authentication codes sent over SMS, email, or other mediums. A malicious application can also dismiss notifications to prevent the user from noticing that the notifications arrived and can trigger action buttons contained within notifications.(Citation: ESET 2FA Bypass);https://attack.mitre.org/techniques/T1517;15 September 2019;09 July 2020;1.0;Collection, Credential Access;The user can inspect (and modify) the list of applications that have notification access through the device settings (e.g. Apps & notification -> Special app access -> Notification access).;Android;;Luká_ _tefanko, ESET
T1413;Access Sensitive Data in Device Logs;On versions of Android prior to 4.1, an adversary may use a malicious application that holds the READ_LOGS permission to obtain private keys, passwords, other credentials, or other sensitive data stored in the device's system log. On Android 4.1 and later, an adversary would need to attempt to perform an operating system privilege escalation attack to be able to access the log.;https://attack.mitre.org/techniques/T1413;25 October 2017;17 October 2018;1.0;Collection, Credential Access;;Android;APP-3;
T1409;Access Stored Application Data;"Adversaries may access and collect application data resident on the device. Adversaries often target popular applications such as Facebook, WeChat, and Gmail.(Citation: SWB Exodus March 2019)

This technique requires either escalated privileges or for the targeted app to have stored the data in an insecure manner (e.g., with insecure file permissions or in an insecure location such as an external storage directory).";https://attack.mitre.org/techniques/T1409;25 October 2017;10 October 2019;2.0;Collection, Credential Access;Accessing stored application data can be difficult to detect, and therefore enterprises may be better served focusing on detection at other stages of adversarial behavior.;Android, iOS;AUT-0;
T1438;Alternate Network Mediums;Adversaries can communicate using cellular networks rather than enterprise Wi-Fi in order to bypass enterprise network monitoring systems. Adversaries may also communicate using other non-Internet Protocol mediums such as SMS, NFC, or Bluetooth to bypass network monitoring systems.;https://attack.mitre.org/techniques/T1438;25 October 2017;17 October 2018;1.0;Command And Control, Exfiltration;;Android, iOS;APP-30;
T1418;Application Discovery;"Adversaries may seek to identify all applications installed on the device. One use case for doing so is to identify the presence of endpoint security applications that may increase the adversary's risk of detection. Another use case is to identify the presence of applications that the adversary may wish to target.

On Android, applications can use methods in the PackageManager class (Citation: Android-PackageManager) to enumerate other apps installed on device, or an entity with shell access can use the pm command line tool.

On iOS, apps can use private API calls to obtain a list of other apps installed on the device. (Citation: Kurtz-MaliciousiOSApps) However, use of private API calls will likely prevent the application from being distributed through Apple's App Store.";https://attack.mitre.org/techniques/T1418;25 October 2017;17 October 2018;1.0;Defense Evasion, Discovery;;Android, iOS;;
T1427;Attack PC via USB Connection;With escalated privileges, an adversary could program the mobile device to impersonate USB devices such as input devices (keyboard and mouse), storage devices, and/or networking devices in order to attack a physically connected PC(Citation: Wang-ExploitingUSB)(Citation: ArsTechnica-PoisonTap) This technique has been demonstrated on Android. We are unaware of any demonstrations on iOS.;https://attack.mitre.org/techniques/T1427;25 October 2017;03 February 2019;1.1;Lateral Movement;;Android;PHY-2;
T1402;Broadcast Receivers;"An intent is a message passed between Android application or system components. Applications can register to receive broadcast intents at runtime, which are system-wide intents delivered to each app when certain events happen on the device, such as network changes or the user unlocking the screen. Malicious applications can then trigger certain actions within the app based on which broadcast intent was received.

Further, malicious applications can register for intents broadcasted by other applications in addition to the Android system itself. This allows the malware to respond based on actions in other applications. This behavior typically indicates a more intimate knowledge, or potentially the targeting of specific devices, users, or applications.

In Android 8 (API level 26), broadcast intent behavior was changed, limiting the implicit intents that applications can register for in the manifest. In most cases, applications that register through the manifest will no longer receive the broadcasts. Now, applications must register context-specific broadcast receivers while the user is actively using the app.(Citation: Android Changes to System Broadcasts)";https://attack.mitre.org/techniques/T1402;25 October 2017;27 March 2020;2.0;Execution, Persistence;Broadcast intent receivers are part of standard OS-level APIs and are therefore typically undetectable to the end user.;Android;;Alex Hinchliffe, Palo Alto Networks
