Category;Code;EN;FR
AKB;AKB0001;Civic duty;Devoir civique
AKB;AKB0002;Team players;Joueurs d'équipe
AKB;AKB0003;Lifelong learners;Apprenants à vie
AKB;AKB0004;Systemic thinkers;Penseurs systémiques
CKB;CKB0001;Builds networks;Construit des réseaux
CKB;CKB0002;Optimizes work processes;Optimise les processus de travail
CKB;CKB0003;Direct the work;Dirige le travail
CKB;CKB0004;Develop talent;Développe le talent
CKB;CKB0006;Handles conflicts;Gère les conflits
CKB;CKB0007;Courage;Courage
CKB;CKB0008;Collaborate;Collabore
CKB;CKB0009;Build effective teams;Construit des équipes efficaces
CKB;CKB0010;Sense of interpersonal relationships;Sens des relations interpersonnelles
CKB;CKB0011;Situational adaptability;Adaptabilité situationnelle
CKB;CKB0012;Gets results;Obtient des résultats
CKB;CKB0013;Action oriented;Orienté vers l'action
CKB;CKB0015;Values differences;Différences de valeurs
CKB;CKB0016;Communicates effectively;Communique efficacement
CKB;CKB0017;Manages ambiguity;Gère l'ambiguïté
CKB;CKB0018;Plans and aligns;Planifie et aligne
CKB;CKB0019;Situational adaptability;Adaptabilité situationnelle
CKI;CKI0001;Emotional intelligence;Intelligence émotionnelle
CKI;CKI0002;Social intelligence;Intelligence sociale
CKN;CKN0005;Take responsibility;Assure la responsabilité
GKB;GKB0001;Resilience;Résistance
GKB;GKB0002;Character;Personnage
GKB;GKB0003;Inquisitiveness;Curiosité
GKB;GKB0004;Flexibility;Souplesse
GKB;GKB0005;Global mindset;État d'esprit mondial
GKB;GKB0006;Cross cultural communication;La communication interculturelle
GKB;GKB0007;Interpersonal skills;Compétences personnelles
GKB;GKB0008;Valuing people;Valoriser les gens
GKB;GKB0009;Empowering others;Autonomiser les autres
GKB;GKB0010;Teaming skills;Compétences en équipe
GKB;GKB0011;Vision and strategic thinking;Vision et réflexion stratégique
GKB;GKB0012;Business savvy;Sens des affaires
GKB;GKB0013;Managing communities;Gérer les communautés
GKB;GKB0014;Organizational savvy;Sens de l'organisation
GKB;GKB0015;Leading change;La conduite du changement
GKB;GKB0016;Customer oriented;Orientée vers le client
GKB;GKB0017;Champion of innovation;Champion de l'innovation
GKB;GKB0018;Action oriented;Orienté vers l'action
GKB;GKB0019;Nurcher staff engagement;Engagement du personnel de Nurcher
KKB;KKB0001;Ability to take good decisions;Capacité à prendre de bonnes décisions
PEC;PEC0001;Demonstrating sensitivity/empathy;Faire preuve de sensibilité / d'empathie
PEC;PEC0001;Demonstrating sensitivity/empathy;Faire preuve de sensibilité / d'empathie
PEC;PEC0001A;Demonstrate sensitivity to the needs and feelings of others;Faire preuve de sensibilité aux besoins et aux sentiments des autres
PEC;PEC0001B;Look for ways to help people and deliver assistance;Rechercher des moyens d'aider les gens et de fournir de l'aide
PEC;PEC0001C;Show sincere interest in others and their concerns;Montrez un intérêt sincère pour les autres et leurs préoccupations
PEC;PEC0002;Demonstrating insight into behavior;Démonstration d'un aperçu du comportement
PEC;PEC0002;Demonstrating insight into behavior;Démontrer un aperçu du comportement
PEC;PEC0002A;Demonstrate flexibility for change based on the ideas and actions of others;Faire preuve de flexibilité pour le changement en fonction des idées et des actions des autres
PEC;PEC0002B;Recognize and accurately interpret the verbal and nonverbal behavior of others;Reconnaître et interpréter avec précision le comportement verbal et non verbal des autres
PEC;PEC0002C;Recognize when relationships with others are strained;Reconnaître quand les relations avec les autres sont tendues
PEC;PEC0002D;Show understanding of others’ behaviors and motives by demonstrating appropriate responses;Montrez une compréhension des comportements et des motivations des autres en démontrant des réponses appropriées
PEC;PEC0003;Maintaining open relationships;Maintenir des relations ouvertes
PEC;PEC0003;Maintaining open relationships;Entretenir des relations ouvertes
PEC;PEC0003A;Encourage others to share problems and successes;Encouragez les autres à partager leurs problèmes et leurs réussites
