Category;Code;EN;FR;
ACA;ACA0027;Operating Systems;Systèmes d'exploitation;
ACA;ACA0027A;Demonstrate familiarity with the security features and functions of common operating systems;Démontrer une familiarité avec les caractéristiques et les fonctions de sécurité des systèmes d'exploitation courants;
ACA;ACA0027B;Demonstrate familiarity with Unix/Linux operating system structure and internals (e.g., process management, directory structure, installed applications);Démontrer une connaissance de la structure et des éléments internes du système d'exploitation Unix / Linux (par exemple, gestion des processus, structure de répertoires, applications installées);
ACA;ACA0027C;Demonstrate familiarity with Windows command line;Démontrer une familiarité avec la ligne de commande Windows;
ACA;ACA0027D;Demonstrate familiarity with Windows/Unix/Android, iOS, and Windows Mobile ports and services;Démontrer une connaissance des ports et services Windows / Unix / Android, iOS et Windows Mobile;
ACA;ACA0027E;Demonstrate skill in identifying, modifying, and manipulating applicable system components (Windows and/or Unix/Linux) (e.g., passwords, user accounts, files);Démontrer des compétences dans l'identification, la modification et la manipulation des composants système applicables (Windows et / ou Unix / Linux) (par exemple, mots de passe, comptes d'utilisateurs, fichiers);
ACA;ACA0027F;Describe how to manage patches to IT and OT operating systems;Décrire comment gérer les correctifs des systèmes d'exploitation IT et OT;
ACA;ACA0027G;Explain virtualization technologies and virtual machine development and maintenance;Expliquer les technologies de virtualisation et le développement et la maintenance des machines virtuelles;
ACA;ACA0027H;dentify file system implementations;implémentations de système de fichiers dentify;
ACA;ACA0027I;Recognize the implications of installed patches to IT and OT systems;Reconnaître les implications des correctifs installés sur les systèmes IT et OT;
ACA;ACA0027J;Understand file extensions (e.g., .dll, .bat, .zip, .pcap, .gzip);Comprendre les extensions de fichiers (par exemple, .dll, .bat, .zip, .pcap, .gzip);
ACA;ACA0027K;Understand how to troubleshoot basic systems and identify operating systems-related issues;Comprendre comment dépanner les systèmes de base et identifier les problèmes liés aux systèmes d'exploitation;
ACA;ACA0027L;Understand server and client operating systems;Comprendre les systèmes d'exploitation serveur et client;
ACA;ACA0027M;Understand systems administration concepts;Comprendre les concepts d'administration des systèmes;
DKH;DKW0001;Information Technology industry;Industrie des technologies de l'information;
DKH;DKW0002;Banking sector;Secteur bancaire;
DKH;DKW0003;Finance sector;Secteur financier;
DKH;DKW0004;Insurance industry;Secteur de l'assurance;
IWC;IWC0001;Common Operating Systems (OS);Systèmes d'exploitation courants (OS);
IWC;IWC0001A;Android;Android;
IWC;IWC0001B;iOS;iOS;
IWC;IWC0001C;Mac OS;Mac OS;
IWC;IWC0001D;Unix/Linux;Unix / Linux;
IWC;IWC0001E;Windows;les fenêtres;
IWC;IWC0001F;Windows Mobile;Windows Mobile;
IWC;IWC0002;Communication methods, principles, and concepts, such as;Méthodes, principes et concepts de communication, tels que;
IWC;IWC0002A;Encoding;Codage;
IWC;IWC0002B;Multiplexing;Multiplexage;
IWC;IWC0002C;Signaling;Signalisation;
IWC;IWC0003;Cryptography;Cryptographie;
IWC;IWC0003A;Core concepts and methodologies;Concepts et méthodologies de base;
IWC;IWC0003B;Describe encryption methodologies;Décrire les méthodologies de chiffrement;
IWC;IWC0003C;Explain symmetric key rotation techniques and concepts;Expliquer les techniques et les concepts de rotation des clés symétriques;
IWC;IWC0003D;Explain the concept of public key infrastructure (PKI);Expliquer le concept d'infrastructure à clé publique (PKI);
IWC;IWC0003E;Explain the core concepts of cryptography and cryptographic key management concepts;Expliquer les concepts de base de la cryptographie et des concepts de gestion des clés cryptographiques;
IWC;IWC0004;File system implementations, such as;Implémentations de système de fichiers, telles que;
IWC;IWC0004A;File Allocation Table (FAT);Table d'allocation de fichiers (FAT);
IWC;IWC0004B;File Extension (EXT);Extension de fichier (EXT);
IWC;IWC0004C;New Technology File System (NTFS);Système de fichiers de nouvelles technologies (NTFS);
IWC;IWC0005;IT Architecture;Architecture informatique;
IWC;IWC0005A;Architecture concepts;Concepts d'architecture;
IWC;IWC0005AA;Explain security system design tools, methods, and techniques;Expliquer les outils, méthodes et techniques de conception de système de sécurité;
IWC;IWC0005AB;Information theory;Théorie de l'information;
IWC;IWC0005AC;Algorithm complexity theory;Théorie de la complexité des algorithmes;
IWC;IWC0005AD;Channel coding;Codage des canaux;
IWC;IWC0005AE;Data compression;Compression de données;
IWC;IWC0005AF;Source coding;Codage source;
IWC;IWC0005AG;IT Architecture concepts;Concepts d'architecture informatique;
IWC;IWC0005AH;Components (e.g., firewalls, routers, switches);Composants (par exemple, pare-feu, routeurs, commutateurs);
IWC;IWC0005AI;Topology;Topologie;
IWC;IWC0005AJ;Understand system life cycle management principles, including software security and usability;Comprendre les principes de gestion du cycle de vie du système, y compris la sécurité et la convivialité des logiciels;
IWC;IWC0005B;DCS;DCS;
IWC;IWC0005C;Fieldbus;Bus de terrain;
IWC;IWC0005D;Historians;Les historiens;
IWC;IWC0005E;HMI;IHM;
IWC;IWC0005F;PLC/RTU;PLC / RTU;
IWC;IWC0005G;Sensors;Capteurs;
IWC;IWC0005H;Supervisory Control and Data Acquisition (SCADA);Contrôle de supervision et acquisition de données (SCADA);
IWC;IWC0005I;Concepts;Concepts;
IWC;IWC0005J;Add/drop multiplexers;Ajouter / supprimer des multiplexeurs;
IWC;IWC0005K;Fiber optics systems link budgeting;Budgétisation des liaisons des systèmes de fibre optique;
IWC;IWC0005L;Routing algorithms;Algorithmes de routage;
IWC;IWC0005M;Demonstrate knowledge of communication methods, principles, and concepts;Démontrer la connaissance des méthodes, principes et concepts de communication;
IWC;IWC0005N;Demonstrate knowledge of information theory;Démontrer des connaissances en théorie de l'information;
IWC;IWC0005O;Describe how different file types can be used for anomalous behavior;Décrivez comment différents types de fichiers peuvent être utilisés pour un comportement anormal;
IWC;IWC0005P;Describe the capabilities of different electronic communication systems and methods;Décrire les capacités de différents systèmes et méthodes de communication électronique;
IWC;IWC0005Q;Distinguish between data in use, data in motion (transit), and data at rest;Distinguer les données utilisées, les données en mouvement (transit) et les données au repos;
IWC;IWC0005R;Electronic communication systems and methods;Systèmes et méthodes de communication électronique;
IWC;IWC0005S;Direct video broadcasts;Diffusions vidéo directes;
IWC;IWC0005T;E-mail;Email;
IWC;IWC0005U;Instant Messenger (IM);Messagerie instantanée (IM);
IWC;IWC0005V;Voice over Internet Protocol (VoIP);Voix sur protocole Internet (VoIP);
IWC;IWC0005W;Web forums;Forums Web;
IWC;IWC0005X;Explain IT architectural concepts and frameworks;Expliquer les concepts et les cadres d'architecture informatique;
IWC;IWC0005Y;Explain parallel and distributed computing concepts;Expliquer les concepts de calcul parallèle et distribué;
IWC;IWC0005Z;Explain remote access technology concepts;Expliquer les concepts de la technologie d'accès à distance;
IWC;IWC0006;Networks;Réseaux;
IWC;IWC0006A;Describe basic system administration, network, and operating system hardening techniques;Décrire les techniques de base d'administration système, de réseau et de renforcement du système d'exploitation;
IWC;IWC0006B;Explain computer networking concepts and protocols, and network security methodologies;Expliquer les concepts et protocoles de réseau informatique et les méthodologies de sécurité réseau;
IWC;IWC0006C;Explain guidance on separation of OT and IT system networks and components;Expliquer les conseils sur la séparation des réseaux et composants OT et système informatique;
IWC;IWC0006D;Explain how traffic flows across the network;Expliquez comment le trafic circule sur le réseau;
IWC;IWC0006E;Explain local area network (LAN) and wide area network (WAN) principles and concepts, including bandwidth management;Expliquer les principes et les concepts du réseau local (LAN) et du réseau étendu (WAN), y compris la gestion de la bande passante;
IWC;IWC0006F;Explain network design processes, to include understanding of security objectives, operational objectives, and tradeoffs;Expliquer les processus de conception de réseau, pour inclure la compréhension des objectifs de sécurité, des objectifs opérationnels et des compromis;
IWC;IWC0006G;Explain server administration and systems engineering theories, concepts, and methods;Expliquer les théories, les concepts et les méthodes de l'administration des serveurs et de l'ingénierie des systèmes;
IWC;IWC0006H;Explain service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, v3 [ITL]);Expliquer les concepts de gestion des services pour les réseaux et les normes associées (par exemple, Bibliothèque d'infrastructure informatique, v3 [ITL]);
IWC;IWC0006I;Hardening Techniques;Techniques de durcissement;
IWC;IWC0006J;Hardware-based computer protection components (e.g., hardware firewalls, servers, routers);Composants de protection informatique basés sur le matériel (par exemple, pare-feu matériels, serveurs, routeurs);
IWC;IWC0006K;Software-based computer protection tools (e.g., software firewalls, anti-virus software, anti-spyware);Outils de protection informatique basés sur des logiciels (par exemple, pare-feu logiciels, logiciels antivirus, anti-logiciels espions);
IWC;IWC0006L;Identify host and network access control mechanisms (e.g., access control list);Identifier les mécanismes de contrôle d'accès hôte et réseau (par exemple, liste de contrôle d'accès);
IWC;IWC0006M;Identify the range of existing networks types;Identifier la gamme de types de réseaux existants;
IWC;IWC0006N;Network Protocols;Protocoles réseau;
IWC;IWC0006O;Domain Name System (DNS);Système de noms de domaine (DNS);
IWC;IWC0006P;Dynamic Host Configuration Protocol (DHCP);Protocole de configuration dynamique d'hôte (DHCP);
IWC;IWC0006Q;IPv4 and IPv6;IPv4 et IPv6;
IWC;IWC0006R;Transmission Control Protocol and Internet Protocol (TCP/IP);Protocole de contrôle de transmission et protocole Internet (TCP / IP);
IWC;IWC0006S;Network Types, such as;Types de réseau, tels que;
IWC;IWC0006T;Local Area Networks (LANs);Réseaux locaux (LAN);
IWC;IWC0006U;Private Branching Exchange (PBX);Échange de branchement privé (PBX);
