Spécialisation;Rôle NICE;NICE ID 
Conseiller;Authorizing Official/Designating Representative ;SP-RSK-001 
;Knowledge Manager ;OM-KMG-001 
;Cyber Legal Advisor  ;OV-LGA-001 
;Cyber Policy and Strategy Planner ;OV-SPP-002 
;Program Manager  ;OV-PMA-001 
;IT Project Manager ;OV-PMA-002 
;Product Support Manager ;OV-PMA-003 
;All Source-Collection Manager ;CO-CLO-001 
;All Source-Collection Requirements Manager ;CO-CLO-002 
;Cyber Intel Planner ;CO-OPL-001 
;Cyber Ops Planner ;CO-OPL-002 
Analyste;Enterprise Architect  ;SP-ARC-001 
;Research & Development Specialist  ;SP-TRD-001 
;Systems Requirements Planner  ;SP-SRP-001 
;Data Analyst  ;OM-DTA-002 
;Knowledge Manager ;OM-KMG-001 
;Systems Security Analyst ;OM-ANA-001 
Gestionnaire;Authorizing Official/Designating Representative ;SP-RSK-001 
;Executive Cyber Leadership  ;OV-EXL-001 
;Information Systems Security Manager ;OV-MGT-001 
;Communications Security (COMSEC) Manager ;OV-MGT-002 
;Cyber Workforce Developer and Manager  ;OV-SPP-001 
;Privacy Officer/Privacy Compliance Manager ; OV-LGA-002 
Formation Sensibilisation;Cyber Instructional Curriculum Developer  ;OV-TEA-001 
;Cyber Instructor  ;OV-TEA-002 
