Competency ID;Competency;KSA ID;KSA
C030;Legal, Government, and Jurisprudence;K0003;Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. 
C030;Legal, Government, and Jurisprudence;K0410;Knowledge of cyber laws and their effect on Cyber planning.
C037;Organizational Awareness;K0511;Knowledge of organizational hierarchy and cyber decision-making processes.
C037;Organizational Awareness;K0598;Knowledge of the structure and intent of organization specific plans, guidance and authorizations.
C041;Process Control;S0296;Skill in utilizing feedback to improve processes, products, and services.
C044;Risk Management;K0002;Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
C011;Critical Thinking;A0085;Ability to exercise judgment when policies are not well-defined.
C011;Critical Thinking;A0087;Ability to focus research efforts to meet the customer’s decision-making needs.
C011;Critical Thinking;A0101;Ability to recognize and mitigate cognitive biases which may affect analysis.
C011;Critical Thinking;A0106;Ability to think critically.
C011;Critical Thinking;A0108;Ability to understand objectives and effects.
C028;Interpersonal Skills;A0082;Ability to effectively collaborate via virtual teams.
C028;Interpersonal Skills;A0088;Ability to function effectively in a dynamic, fast-paced environment.
C028;Interpersonal Skills;A0089;Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise.
C036;Oral Communication;A0072;Ability to clearly articulate intelligence requirements into well-formulated research questions and data tracking variables for inquiry tracking purposes.
C039;Presenting Effectively;S0249;Skill in preparing and presenting briefings.
C039;Presenting Effectively;S0297;Skill in utilizing virtual collaborative workspaces and/or tools (e.g., IWS, VTCs, chat rooms, SharePoint).
C039;Presenting Effectively;A0013;Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means. 
C060;Written Communication;S0254;Skill in providing analysis to aid writing phased after action reports.
C060;Written Communication;S0303;Skill in writing, reviewing and editing cyber-related Intelligence/assessment products from multiple sources.
C005;Computer Forensics;K0449;Knowledge of how to extract, analyze, and use metadata.
C007;Computer Network Defense;K0405;Knowledge of current computer-based intrusion sets.
C007;Computer Network Defense;K0440;Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.
C007;Computer Network Defense;K0507;Knowledge of organization or partner exploitation of digital networks.
C008;Computers and Electronics;K0109;Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage).
C012;Data Analysis;S0194;Skill in conducting non-attributable research.
C012;Data Analysis;S0218;Skill in evaluating information for reliability, validity, and relevance.
C012;Data Analysis;S0227;Skill in identifying alternative analytical interpretations to minimize unanticipated outcomes.
C012;Data Analysis;S0288;Skill in using multiple analytic tools, databases, and techniques (e.g., Analyst’s Notebook, A-Space, Anchory, M3, divergent/convergent thinking, link charts, matrices, etc.).
C012;Data Analysis;A0084;Ability to evaluate, analyze, and synthesize large quantities of data (which may be fragmented and contradictory) into high quality, fused targeting/intelligence products.
C012;Data Analysis;A0083;Ability to evaluate information for reliability, validity, and relevance.
C013;Data Management;K0377;Knowledge of classification and control markings standards, policies and procedures.
C013;Data Management;A0066;Ability to accurately and completely source all data used in intelligence, assessment and/or planning products.
C017;Encryption;K0427;Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP).
C023;Information Management;K0409;Knowledge of cyber intelligence/information collection capabilities and repositories.
C023;Information Management;S0278;Skill in tailoring analysis to the necessary levels (e.g., classification and organizational).
C024;Information Systems/Network Security;K0004;Knowledge of cybersecurity and privacy principles.
C024;Information Systems/Network Security;K0561;Knowledge of the basics of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection).
C025;Information Technology Assessment;K0357;WITHDRAWN: Knowledge of analytical constructs and their use in assessing the operational environment. (See K0224)
C025;Information Technology Assessment;S0360;Skill to analyze and assess internal and external partner cyber operations capabilities and tools.
C026;Infrastructure Design;K0001;Knowledge of computer networking concepts and protocols, and network security methodologies. 
C026;Infrastructure Design;K0221;Knowledge of OSI model and underlying network protocols (e.g., TCP/IP).
C026;Infrastructure Design;K0395;Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.).
C026;Infrastructure Design;K0437;Knowledge of general Supervisory control and data acquisition (SCADA) system components.
C026;Infrastructure Design;K0471;Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering).
C026;Infrastructure Design;K0516;Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc.
C026;Infrastructure Design;K0565;Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications.
C027;Intelligence Analysis;K0457;Knowledge of intelligence confidence levels.
C027;Intelligence Analysis;K0458;Knowledge of intelligence disciplines.
C027;Intelligence Analysis;K0460;Knowledge of intelligence preparation of the environment and similar processes.
C027;Intelligence Analysis;K0464;Knowledge of intelligence support to planning, execution, and assessment.
C027;Intelligence Analysis;K0577;Knowledge of the intelligence frameworks, processes, and related systems.
C027;Intelligence Analysis;A0091;Ability to identify intelligence gaps.
C027;Intelligence Analysis;A0102;Ability to recognize and mitigate deception in reporting and analysis.
C027;Intelligence Analysis;A0109;Ability to utilize multiple intelligence sources across all intelligence disciplines.
C031;Mathematical Reasoning;S0285;Skill in using Boolean operators to construct simple and complex queries.
C033;Network Management;K0058;Knowledge of network traffic analysis methods.
C035;Operations Support;K0436;Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects.
C035;Operations Support;K0465;Knowledge of internal and external partner cyber operations capabilities and tools.
C035;Operations Support;S0189;Skill in assessing and/or estimating effects generated during and after cyber operations.
C035;Operations Support;S0203;Skill in defining and characterizing all pertinent aspects of the operational environment.
C040;Problem Solving;S0211;Skill in developing or recommending analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.
C040;Problem Solving;A0080;Ability to develop or recommend analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.
C048;System Administration;K0610;Knowledge of virtualization products (VMware, Virtual PC).
C049;Systems Integration;K0036;Knowledge of human-computer interaction principles.
C051;Target Development;K0533;Knowledge of specific target identifiers, and their usage.
C051;Target Development;K0542;Knowledge of target development (i.e., concepts, roles, responsibilities, products, etc.).
C051;Target Development;K0549;Knowledge of target vetting and validation procedures.
C051;Target Development;K0551;Knowledge of targeting cycles.
C051;Target Development;S0256;Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships.
C053;Technology Awareness;K0431;Knowledge of evolving/emerging communications technologies.
C054;Telecommunications;K0108;Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless).
C054;Telecommunications;K0445;Knowledge of how modern digital and telephony networks impact cyber operations.
C054;Telecommunications;K0446;Knowledge of how modern wireless communications systems impact cyber operations.
C054;Telecommunications;K0556;Knowledge of telecommunications fundamentals.
C054;Telecommunications;K0560;Knowledge of the basic structure, architecture, and design of modern communication networks.
C054;Telecommunications;K0614;Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems.
C055;Threat Analysis;K0177;Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks).
C055;Threat Analysis;K0362;Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.).
C055;Threat Analysis;K0469;Knowledge of internal tactics to anticipate and/or emulate threat capabilities and actions.
